발주기관,건수,평균리드점수,기대매출합(원),주력업종,주력지역
광주광역시 광산구,6,100.0,2016000,기타,광주광역시
국토교통부 대전지방국토관리청 예산국토관리사무소,6,99.0,2016000,토목공사,
국토교통부 익산지방국토관리청 광주국토관리사무소,5,99.0,1680000,토목공사,
대구광역시 군위군,5,97.0,1680000,기타,대구광역시
사단법인 수생태보전협의회,4,97.0,1344000,기타,전라남도
충청남도 공주시,3,99.3,1008000,토목공사,충청남도
중소기업은행,3,98.3,1008000,전기공사,경상남도
충청남도 예산군,3,98.3,1008000,토목공사,충청남도
전라남도 장흥군,3,98.7,1008000,토목공사,전라남도
경상북도 상주시,3,98.0,1008000,기타,경상북도
전라남도 진도군,2,98.5,672000,전기공사,전라남도
경상북도 구미시,2,100.0,672000,토목공사,경상북도
서울특별시 송파구,2,100.0,672000,토목공사,서울특별시
서울교통공사,2,100.0,672000,기타,서울특별시
경상북도 청도군,2,100.0,672000,토목공사,경상북도
울산광역시,2,98.5,672000,조경공사,울산광역시
경기도 김포시,2,98.5,672000,전기공사,경기도
경상남도 거제시,2,98.5,672000,전기공사,경상남도
전북특별자치도 김제시,2,99.0,672000,토목공사,전북특별자치도
과학기술정보통신부 국립전파연구원,2,99.0,672000,전기공사,
경기도 용인시,2,97.5,672000,건축공사,경기도
경기도 파주시,2,97.0,672000,기타,경기도
경상북도 의성군,1,100.0,336000,기타,경상북도
산림청 서부지방산림청 순천국유림관리소,1,100.0,336000,기타,전라남도
인천광역시 연수구,1,100.0,336000,조경공사,인천광역시
서울특별시 마포구,1,100.0,336000,기타,서울특별시
인천광역시 강화군,1,100.0,336000,토목공사,인천광역시
한국농어촌공사 전북지역본부 군산지사,1,100.0,336000,전기공사,전북특별자치도
전북특별자치도교육청 전북특별자치도무주교육지원청,1,100.0,336000,전기공사,전북특별자치도
경기도 화성시 병점구,1,100.0,336000,기타,경기도
전북특별자치도 전주시,1,100.0,336000,전기공사,전북특별자치도
경기도 평택시 상하수도사업소,1,100.0,336000,소방공사,경기도
서울시설공단,1,100.0,336000,소방공사,서울특별시
경상북도 문경시 호계면,1,100.0,336000,토목공사,경상북도
경기도 오산시,1,100.0,336000,전기공사,경기도
경기도 하남시,1,100.0,336000,토목공사,경기도
광주광역시 남구,1,100.0,336000,토목공사,광주광역시
경기도 포천시 안전도시국 상하수과,1,100.0,336000,전기공사,경기도
경상북도 경주시,1,100.0,336000,정보통신공사,경상북도
전라남도 순천시,1,100.0,336000,정보통신공사,전라남도
한국농어촌공사 강원지역본부 홍천.춘천지사,1,100.0,336000,전기공사,강원특별자치도
경상남도 진주시,1,100.0,336000,전기공사,경상남도
대전광역시 동구,1,100.0,336000,전기공사,대전광역시
경상남도 창녕군,1,100.0,336000,토목공사,경상남도
경상남도 거창군 농업기술센터,1,100.0,336000,건축공사,경상남도
강원특별자치도 강릉시 농업기술센터,1,100.0,336000,토목공사,강원특별자치도
한국원자력연구원,1,100.0,336000,정보통신공사,대전광역시
부산광역시 기장군,1,100.0,336000,조경공사,부산광역시
경기도 평택시,1,100.0,336000,조경공사,경기도
헌법재판소,1,100.0,336000,건축공사,서울특별시
대전광역시,1,99.0,336000,토목공사,
서울특별시,1,99.0,336000,건축공사,
강원특별자치도교육청 강원특별자치도인제교육지원청,1,99.0,336000,전기공사,
국토교통부 원주지방국토관리청,1,99.0,336000,토목공사,
국방과학연구소,1,99.0,336000,소방공사,
(주)엑스코,1,99.0,336000,소방공사,
전라남도교육청,1,99.0,336000,건축공사,
부산광역시 금정구,1,98.0,336000,토목공사,부산광역시
강원특별자치도 속초시,1,98.0,336000,전기공사,강원특별자치도
전라남도 장성군,1,98.0,336000,정보통신공사,전라남도
경상북도 칠곡군,1,98.0,336000,토목공사,경상북도
국가보훈부 국립대전현충원,1,98.0,336000,조경공사,대전광역시
사랑의집 에덴,1,98.0,336000,소방공사,충청남도
충청북도 청주시 서원구,1,98.0,336000,전기공사,충청북도
서울특별시 광진소방서,1,98.0,336000,소방공사,서울특별시
한성백제박물관,1,98.0,336000,조경공사,서울특별시
광주광역시 상수도사업본부 용연정수사업소,1,98.0,336000,전기공사,전라남도
인천광역시 상수도사업본부,1,97.0,336000,기타,인천광역시
서울물재생시설공단,1,97.0,336000,기타,서울특별시
충청북도 청주시 청원구,1,97.0,336000,기타,충청북도
경기도 부천시,1,97.0,336000,기타,경기도
전라남도교육청 여수정보과학고등학교,1,97.0,336000,기타,전라남도
전북특별자치도 전주시 완산구,1,97.0,336000,기타,전북특별자치도
울산광역시 동구,1,97.0,336000,기타,울산광역시
대구공공시설관리공단 성서사업처,1,97.0,336000,기타,대구광역시
충청남도 천안시,1,97.0,336000,기타,충청남도
채비(주),1,97.0,336000,기타,경기도
